Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Exchange,Current,10/02/2026 23:35,2026-02-10 23:35:50,Exchanged to GBP,7.2,0,GBP,COMPLETED,49.55
Transfer,Current,10/02/2026 23:36,2026-02-10 23:36:59,To pocket GBP Oszczędności from GBP,-0.02,0,GBP,COMPLETED,49.53
Card Payment,Current,10/02/2026 23:16,2026-02-11 10:03:11,J&s Accessories,-35.99,0,GBP,COMPLETED,13.54
Card Payment,Current,10/02/2026 12:37,2026-02-11 13:12:44,Tesco,-5.9,0,GBP,COMPLETED,7.64
Card Payment,Current,10/02/2026 23:36,2026-02-12 12:43:49,Amazon,-4.99,0,GBP,COMPLETED,2.65
Transfer,Current,12/02/2026 19:38,2026-02-12 19:38:24,Pocket Withdrawal,2,0,GBP,COMPLETED,4.65
Transfer,Current,12/02/2026 19:39,2026-02-12 19:39:09,To pocket GBP Oszczędności from GBP,-0.6,0,GBP,COMPLETED,4.05
Card Payment,Current,12/02/2026 19:39,2026-02-13 15:16:47,Marks & Spencer,-3.7,0,GBP,COMPLETED,0.35
Transfer,Current,14/02/2026 13:10,2026-02-14 13:10:50,Pocket Withdrawal,3,0,GBP,COMPLETED,3.35
Topup,Current,14/02/2026 14:33,2026-02-14 14:34:33,Top-up by *4787,290,0,GBP,COMPLETED,293.35
Transfer,Current,14/02/2026 14:34,2026-02-14 14:34:45,To pocket GBP Oszczędności from GBP,-0.04,0,GBP,COMPLETED,293.31
Transfer,Current,15/02/2026 05:23,2026-02-15 05:23:50,Pocket Withdrawal,2,0,GBP,COMPLETED,295.31
Transfer,Current,15/02/2026 05:24,2026-02-15 05:24:06,Pocket Withdrawal,2,0,GBP,COMPLETED,297.31
Card Payment,Current,14/02/2026 14:34,2026-02-15 09:59:48,Infinity Motorcycles,-289.98,0,GBP,COMPLETED,7.33
Topup,Current,15/02/2026 19:27,2026-02-15 19:27:59,Top-up by *4787,25,0,GBP,COMPLETED,32.33
Transfer,Current,15/02/2026 19:28,2026-02-15 19:28:30,To pocket GBP Oszczędności from GBP,-0.02,0,GBP,COMPLETED,32.31
Card Payment,Current,15/02/2026 19:28,2026-02-16 09:56:12,Amazon,-24.99,0,GBP,COMPLETED,7.32
Card Payment,Current,14/02/2026 13:12,2026-02-16 10:14:40,Shukrana,-2.49,0,GBP,COMPLETED,4.83
Transfer,Current,16/02/2026 22:07,2026-02-16 22:07:27,Pocket Withdrawal,49.57,0,GBP,COMPLETED,54.4
Transfer,Current,16/02/2026 22:12,2026-02-16 22:12:17,Pocket Withdrawal,0.2,0,GBP,COMPLETED,54.6
Card Payment,Current,16/02/2026 22:12,2026-02-17 11:16:21,Tesco,-50.55,0,GBP,COMPLETED,4.05
Card Payment,Current,15/02/2026 05:24,2026-02-17 14:40:39,Steam,-4,0,GBP,COMPLETED,0.05
Topup,Current,19/02/2026 11:46,2026-02-19 11:47:01,Top-up by *4787,90,0,GBP,COMPLETED,90.05
Transfer,Current,19/02/2026 11:47,2026-02-19 11:47:07,To pocket GBP Oszczędności from GBP,-0.02,0,GBP,COMPLETED,90.03
Card Payment,Current,19/02/2026 11:47,2026-02-20 13:44:25,Infinity Motorcycles,-89.99,0,GBP,COMPLETED,0.04
Transfer,Current,20/02/2026 17:34,2026-02-20 17:34:39,Pocket Withdrawal,44.68,0,GBP,COMPLETED,44.72
Transfer,Current,20/02/2026 17:34,2026-02-20 17:34:46,Pocket Withdrawal,2,0,GBP,COMPLETED,46.72
Card Payment,Current,20/02/2026 17:34,2026-02-21 12:56:10,Places Leisure Camberley,-46,0,GBP,COMPLETED,0.72
Topup,Current,21/02/2026 15:17,2026-02-21 15:17:15,Top-up by *4787,26,0,GBP,COMPLETED,26.72
Topup,Current,21/02/2026 22:47,2026-02-21 22:47:29,Top-up by *4787,10,0,GBP,COMPLETED,36.72
Transfer,Current,21/02/2026 22:51,2026-02-21 22:51:45,To pocket GBP Oszczędności from GBP,-1.02,0,GBP,COMPLETED,35.7
Transfer,Current,21/02/2026 23:34,2026-02-21 23:34:26,To pocket GBP Budget - Travel from GBP,-4.98,0,GBP,COMPLETED,30.72
Transfer,Current,22/02/2026 12:32,2026-02-22 12:32:02,Pocket Withdrawal,5,0,GBP,COMPLETED,35.72
Transfer,Current,22/02/2026 12:32,2026-02-22 12:32:12,Pocket Withdrawal,2,0,GBP,COMPLETED,37.72
Card Payment,Current,21/02/2026 15:17,2026-02-22 15:10:34,Tesco,-25.43,0,GBP,COMPLETED,12.29
Card Payment,Current,21/02/2026 22:51,2026-02-22 15:10:51,Tesco,-4.49,0,GBP,COMPLETED,7.8
Card Payment,Current,21/02/2026 14:41,2026-02-22 15:28:54,Hart District Council,-0.4,0,GBP,COMPLETED,7.4
Card Payment,Current,21/02/2026 22:29,2026-02-22 15:28:56,Hart District Council,-0.4,0,GBP,COMPLETED,7
Topup,Current,23/02/2026 10:22,2026-02-23 10:22:46,Top-up by *4787,12,0,GBP,COMPLETED,19
Transfer,Current,23/02/2026 10:22,2026-02-23 10:22:54,To pocket GBP Subscriptions from GBP,-12,0,GBP,COMPLETED,7
Card Payment,Current,22/02/2026 12:33,2026-02-23 11:48:43,Taste Of Greece,-6.3,0,GBP,COMPLETED,0.7
